category,word,cefr,cocaRank,sat,keepCore,reason,oxfordDef
food-drinks,"side",a2,286,Y,,manual-pin,"either of the two halves of a surface, an object or an area that is divided by an imaginary central line"
food-drinks,"check",a2,623,,Y,manual-pin,"an act of making sure that something is safe, correct or in good condition by examining it"
food-drinks,"wine",a1,1630,,Y,manual-pin,"an alcoholic drink made from the juice of grapes that has been left to ferment. There are many different kinds of wine."
food-drinks,"tip",a2,1929,,Y,manual-pin,"a small piece of advice about something practical"
food-drinks,"pepper",a1,2414,,Y,manual-pin,"a powder made from dried berries (called peppercorns), used to give a hot, spicy taste to food"
food-drinks,"delivery",b2,2750,,,manual-pin,"the act of taking goods, letters, etc. to the people they have been sent to"
food-drinks,"cookie",,2923,,Y,manual-pin,""
food-drinks,"pie",,3310,,Y,manual-pin,""
food-drinks,"lemon",a2,3685,,Y,manual-pin,"a yellow citrus fruit with juice that has a bitter, sharp taste. Slices of lemon and lemon juice are used in cooking and"
food-drinks,"reservation",b1,3742,,,manual-pin,"an arrangement for a seat on a plane or train, a room in a hotel, etc. to be kept for you"
food-drinks,"garlic",,3769,,,manual-pin,""
food-drinks,"salmon",,4629,,,manual-pin,""
food-drinks,"soda",,4875,Y,,manual-pin,""
food-drinks,"mint",,,,,manual-pin,""
food-drinks,"cocktail",c1,,,,manual-pin,"a drink usually made from a mixture of one or more spirits (= strong alcoholic drinks) and fruit juice. It can also be m"
food-drinks,"avocado",,,,,manual-pin,""
food-drinks,"bagel",,,,,manual-pin,""
food-drinks,"burrito",,,,,manual-pin,""
food-drinks,"taco",,,,,manual-pin,""
food-drinks,"quesadilla",,,,,manual-pin,""
food-drinks,"sushi",,,,,manual-pin,""
food-drinks,"ramen",,,,,manual-pin,""
food-drinks,"pho",,,,,manual-pin,""
food-drinks,"tuna",,,,,manual-pin,""
food-drinks,"shrimp",,,,,manual-pin,""
food-drinks,"lobster",,,Y,,manual-pin,""
food-drinks,"crab",,,,,manual-pin,""
food-drinks,"oyster",,,,,manual-pin,""
food-drinks,"mussel",,,,,manual-pin,""
food-drinks,"scallop",,,,,manual-pin,""
